Name;Country;Potential emissions (Gt CO2);Fuel;New project;Latitude;Longitude;Start year;Description;Operator;Operator copy;Banks;
Tannezuft Shale;Algeria;23.0;Oil&Gas;New project;28.4;6.2;1956;Tannezuft is a natural gas field located in the southeast of Algeria. It was discovered in 1956 and is operated by Sonatrach, the Algerian state-owned oil and gas company. The field has estimated reserves of over 85 billion cubic meters of natural gas.;Sonatrach;Sonatrach;;
Hassi R'Mel (Domestic);Algeria;23.0;Oil&Gas;;32.9;3.3;1956;Hassi R'Mel is a large natural gas field located in central Algeria. It was discovered in 1956 and is operated by Sonatrach. The field has estimated reserves of over 2.5 trillion cubic feet of natural gas. Hassi R'Mel is important for Algeria's domestic energy supply and also supplies natural gas to Europe through pipelines.;Sonatrach;Sonatrach;;
Hassi Messaoud;Algeria;12.0;Oil&Gas;;31.7;6.1;1956;Hassi Messaoud is an oil field located in southeast Algeria. It was discovered in 1956 and is operated by Sonatrach. The field has estimated reserves of over 7 billion barrels of oil. Hassi Messaoud is one of the largest oil fields in Algeria and is important for the country's economy. It also produces natural gas.;Sonatrach;Sonatrach;;
Vaca Muerta Shale;Argentina;52.0;Oil&Gas;;-41.0;-69.2;2010;Vaca Muerta is a shale gas and oil field located in the Neuquén Basin in southwestern Argentina. It was discovered in 2010 and is operated by YPF, the state-owned oil and gas company of Argentina. The field has estimated reserves of over 16 billion barrels of oil equivalent, making it one of the largest shale reserves in the world. The development of Vaca Muerta is important for Argentina's energy security and economic growth. It has also attracted foreign investment and partnerships with international oil companies.;YPF;YPF;;
Wilton and Fairhill Coal Projects;Australia;19.0;Coal;;-33.9;150.8;1976;Wilton and Fairhill are coal mines located in the Sydney Basin in New South Wales, Australia. They are owned by Wollongong Coal and produce thermal and coking coal for domestic and international markets. The mines have faced environmental and safety concerns in recent years.;Wollongong Coal;Wollongong Coal;;
Mount Pleasant Coal Mine;Australia;11.0;Coal;;-17.0;133.1;2019;Velkerri is a shale gas project located in the Beetaloo Basin in the Northern Territory. It is operated by Origin Energy and has estimated reserves of over 6 trillion cubic feet of gas. The project is important for Australia's domestic energy supply and also has the potential for export.;Origin Energy;Origin Energy;;
Yallourn;Australia;11.0;Coal;;-38.2;146.3;1921;Yallourn is a brown coal mine and power station located in the Latrobe Valley in Victoria. It is operated by EnergyAustralia and produces electricity for the national grid. The mine has estimated reserves of over 1 billion tonnes of coal.;EnergyAustralia;EnergyAustralia;;
Velkerri Shale;Australia;11.0;Oil&Gas;New project;-32.7;151.4;1999;Mount Pleasant is a coal mine located in the Hunter Valley region of New South Wales. It is operated by MACH Energy Australia and produces thermal and coking coal for export. The mine has estimated reserves of over 474 million tonnes of coal.;MACH Energy Australia;MACH Energy Australia;;
Peak Downs Coal Mine;Australia;23.0;Coal;;-22.0;148.3;1972;Peak Downs is a coal mine located in the Bowen Basin in Queensland, Australia. It is one of the largest coal mines in Australia and produces both coking and thermal coal. The mine is operated by BHP, a multinational mining company.;BHP;BHP;;
Valeria Coal Mine;Australia;20.0;Coal;;-22.2;148.8;;The Valeria Project is a proposed coal mine located in the Bowen Basin in Queensland, Australia. The mine is expected to produce up to 20 million tonnes of coal per year for export to overseas markets. The project is currently under assessment by the Queensland Government.;Glencore;Glencore;;
