sheet_name;column_name;definition;sources
gasoil_project_data;project_name;Name of the project;Rystad
gasoil_project_data;country;Location of the project;Location attributed by Reclaim Finance, primarily based on Rystad database
gasoil_project_data;latitude;Approximative, location of the project;Global Energy Monitor, Approximation calculated by Reclaim Finance using Rystad's exact latitude
gasoil_project_data;longitude;Approximative, location of the project;Global Energy Monitor, Approximation calculated by Reclaim Finance using Rystad's exact longitude
gasoil_project_data;world_region;Continent of the project;Global Energy Monitor, Rystad
gasoil_project_data;start_year;"For oil and gas : Decade or estimated decade of first oil / first gas of the project
For coal : estimated started time of the project from GEM database.";Approximation calculated by Reclaim Finance using Rystad's start up year, Global Energy Monitor,
gasoil_project_data;total_potential_emissions_v1;Estimated remaining lifetime emissions associated with the project, from the original research paper.;Original research paper
gasoil_project_data;total_potential_emissions;Estimated remaining lifetime emissions associated with the project, from the 2025 update. For Oil and Gas estimations are calculated from Rystad database. For coal, emissions are calculated based on GEM reserves / ressources available information.;Calculation made by Reclaim Finance using Rystad database, Global Energy Monitor
gasoil_project_data;producing_potential_emissions;Estimated remaining lifetime emissions associated to fields that are currently in operation;Calculation made by Reclaim Finance using Rystad database
gasoil_project_data;short_term_expansion_potential_emissions;Estimated remaining lifetime emissions associated to fields that are currently under development or field evaluation;Calculation made by Reclaim Finance using Rystad database
gasoil_project_data;long_term_expansion_potential_emissions;Estimated remaining lifetime emissions associated to fields that are currently discoveries, except field under evaluation;Calculation made by Reclaim Finance using Rystad database
gasoil_project_data;project_evolution;Breakdown of carbon bombs between 1/ Carbon bombs both in V1 and the update (carbon_bomb_above_1gt), 2/ new carbon bombs (new_identified_carbon_bomb), 3/ Carbon bombs from V1 that will now emit less than 1Gt CO2 (carbon_bomb_now_below_1gt), 4/ Carbon bombs in V1 that do not match our database in the update (project_not_found);Calculation made by Reclaim Finance using Rystad database, Global Energy Monitor
gasoil_project_data;project_type;Breakdown between Carbon bombs from V1 and 2025 update on one hand and New extraction projects that are not carbon bombs on the other hand;Original research paper, Calculation made by Reclaim Finance using Rystad database
gasoil_project_data;new_extraction_after_2021;true if the project has new extraction plans after 2021. false if not. Carbon bombs projects can have new extraction expansions, as well as new extraction projects. Only for Oil & gas projects.;Calculation made by Reclaim Finance using Rystad database
gasoil_project_data;project_status_in_v1;status of the project in the original research paper of Kjell Khune.;original research paper
gasoil_project_data;project_status;status of the project : operating, operating and expanding, not started.;calculated
