T02,"Population, density and surface area",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"6,985.60",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,514.41",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,471.20",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2010,Population density,53.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,426.60",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,737.40",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,689.19",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
1,"Total, all countries or areas",2015,Population density,57.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2015,Surface area (thousand km2),"136,162",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
1,"Total, all countries or areas",2020,Population mid-year estimates (millions),"7,840.95",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2020,Population mid-year estimates for males (millions),"3,943.61",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
1,"Total, all countries or areas",2020,Population mid-year estimates for females (millions),"3,897.34",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
