Company;Address_source_chatGPT
Azerbaijan;Azerbaijan, Bakou
BP P.L.C.;1 St James's Square, London SW1Y 4PD, United Kingdom
Equinor ASA;Forusbeen 50, 4035 Stavanger, Norway
Euas Electricity Generation Company;Eskişehir Yolu 7.Km No:166 Çankaya/Ankara, Turkey
National Iranian Oil Company;Hafez Ave, Tehran, Iran
TotalEnergies;2 Place Jean Millier, 92400 Courbevoie, France
QatarEnergy;C-Ring Rd, Doha, Qatar
GVK Group;GVK Lounge, Terminal 2, Chhatrapati Shivaji International Airport, Mumbai, Maharashtra 400099, India
Ministry of Finance of Uzbekistan;5 Mustaqillik Square, Tashkent 100008, Uzbekistan
China Coal;No. 130, Yulan Road, High-tech Zone, Yulin, Shaanxi Province, China
HKSCC Nominees Limited;8/F, Two Exchange Square, 8 Connaught Place, Central, Hong Kong
Rutek Alliance;Luxembourg
Suncor Energy Inc.;150 6 Ave SW, Calgary, AB T2P 3E3, Canada
Teck Resources;Suite 3300, 550 Burrard Street, Vancouver, BC V6C 0B3, Canada
China National Petroleum Corporation;9 Dongzhimen North Street, Dongcheng District, Beijing, China
Golden Energy Mines;Sinar Mas Land Plaza Tower II, 7th floor Jl. M.H. Thamrin No. 51, Jakarta, Indonesia
Jinneng Group;Hongqi Road, Taigu County, Shanxi Province, China
China ZhenHua Oil Co.;28 Xuanwumenwai Street, Xicheng District, Beijing, China
Inner Mongolia Huineng Coal and Electricity Group;Beijing, China
Inner Mongolia Ordos Investment Holding Group;Beijing, China
Bayannaoer Zhuoyue Building Materials Company;Beijing, China
Guanghui Energy Holding Company;No.199, Kezhu Road, Guangzhou Science City, Guangzhou, China
Xinjiang Guanghui Industry Investment Group;Beijing, China
Xinjiang Production and Construction Corps;Beijing, China
Shandong Lutai Holding Group;Beijing, China
Ming Kei Energy Investment Company;Beijing, China
State Power Investment Corporation;1 Dongzhimen North Street, Dongcheng District, Beijing, China
Huolinhe Coal Industry Group;Beijing, China
Industrial and Commercial Bank of China;55 Fuxingmennei Street, Xicheng District, Beijing, China
Coal India;Coal Bhawan, Premise No-04 MAR, Plot No-AF-III, Action Area-1A, Newtown, Rajarhat, Kolkata, West Bengal, India
Government of India;New Delhi, India
China Energy;Chaoyang District, Beijing, China
Eni S.P.A.;Piazzale Enrico Mattei, 1, 00144 Rome, Italy
Korean Gas Corporation;92, Daedong-ro, 3-gil, Seo-gu, Daegu, South Korea
