company;headquarter_country;latitude;longitude;world_region
Alaska Gasline Development Corporation;United States;;;America
New Fortress Energy Inc;United States;;;America
LNG Alliance Pte Ltd;Singapore;;;Asia
Buru Energy Ltd;Australia;;;Oceania
Sempra Energy;United States;;;America
KKR & Co Inc;United States;;;America
Abu Dhabi Investment Authority;United Arab Emirates;;;Asia
Nippon Yusen Kabushiki Kaisha;Japan;;;Asia
Pembina Pipeline Corporation;Canada;;;America
Cheniere Energy Inc;United States;;;America
Venture Global LNG Inc;United States;;;America
Fairwood Peninsula Energy Corp;United States;;;America
Talisman Group Investments LLC;United States;;;America
Mitsui OSK Lines Ltd;Japan;;;Asia
Tellurian Inc;United States;;;America
Phoenix Development Holding Company LLC;United States;;;America
Mad Energy LP;United States;;;America
Chubu Electric Power Company Inc;Japan;;;Asia
Tokyo Electric Power Company Holdings Inc (TEPCO);Japan;;;Asia
Freeport LNG Investments LLLP;United States;;;America
LNG Newfoundland and Labrador Ltd;Canada;;;America
Societe Des Petroles Du Senegal (PETROSEN);Senegal;;;Africa
Greenville Liquefied Natural Gas Company Ltd;Nigeria;;;Africa
Thunderbird Resources Equity Inc;United States;;;America
Zenith Energy US LP;United States;;;America
Gulfstream LNG Development LLC;United States;;;America
Eagle LNG Partners LLC;United States;;;America
Rockies LNG LP;Canada;;;America
Western LNG LLC;United States;;;America
Energy Transfer LP;United States;;;America
Toho Gas Co Ltd;Japan;;;Asia
Glenfarne Group LLC;United States;;;America
AVAIO Capital;United States;;;America
DKRW Energy Partners LLC;United States;;;America
Q-LNG Holdings LLC;United States;;;America
Tortoise Capital Advisors LLC;United States;;;America
Maxson LNG Ventures LLC;United States;;;America
Bilby LNG LLC;United States;;;America
Rilin Energy LLC;United States;;;America
Global Infrastructure Partners;United States;;;America
Lloyds Energy DMCC;United Arab Emirates;;;Asia
GIC Pte Ltd;Singapore;;;Asia
GasInvest Ltd;Nigeria;;;Africa
AA Holdings;Nigeria;;;Africa
Oilserve Ltd;Singapore;;;Asia
Brookfield Corporation;Canada;;;America
Energy World Corporation Ltd;Australia;;;Oceania
Changchun City Jixing Gas Service for Auto Co Ltd;China;;;Asia
Texas LNG LLC;United States;;;America
Fortis Inc;Canada;;;America
Bridas Energy Holdings Ltd;Argentina;;;America
Zhongyou Xinxing Energy Industrial Group Company;China;;;Asia
LNG 21 LLC;United States;;;America
Enbridge Inc;Canada;;;America
PJSC Yakutsk Fuel and Energy Company (YATEC);Russia;;;Europe
