Bank Name,Bank Website,Headquarters address,Headquarters country,CEO Name,Board description,Supervisor Name,Supervisor Website,Shareholder structure source,Source BankTrack,Latitude,Longitude,Bank logo,World Region
ANZ,http://www.anz.com.au,"833 Collins Street, Docklands,3008 Melbourne",Australia,Shayne Elliott,http://shareholder.anz.com/personnel/shayne-elliott,Reserve Bank of Australia,http://www.rba.gov.au/,https://www.marketscreener.com/AUSTRALIA-AND-NEW-ZEALAND-6492549/company/,https://www.banktrack.org/bank/anz,-37.8219417,144.9455252,https://www.banktrack.org/thumbimage.php?image=anz_logo_crop.png&amp,Oceania
Agricultural Bank of China,http://www.abchina.com/en/,"No.69, Jianguomen, NeiAvenue, Dongcheng District,100005 Beijing",China,Gu Shu,https://www.abchina.com/en/investor-relations/corporate-governance/senior-management/senior_management/,China Securities Regulatory Commission (CSRC),http://www.csrc.gov.cn,http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNKDI_SAFBMIvXD8KnxJwCOJVYAJTgC8MwArweLIgNxQIIgwyPdMVAd_DIU4!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.banktrack.org/bank/agricultural_bank_of_china,39.90833,116.42696,https://www.banktrack.org/thumbimage.php?image=agricultural_bank_of_china_logo_svg_crop.png&amp,Asia
BBVA,https://www.bbva.com/en/,"C. Sauceda, 28,28050 Madrid",Spain,Onur Genç,https://www.bbva.com/en/corporate-information/#organizational-chart,Banco de España,http://www.bde.es/homee.htm,https://shareholdersandinvestors.bbva.com/TLBB/tlbb/bbvair/ing/share/information/structure/index.jsp,https://www.banktrack.org/bank/bbva,40.5004166,-3.6628388,https://www.banktrack.org/thumbimage.php?image=newlogo2020_1_crop.png&amp,Europe
BNP Paribas,http://www.bnpparibas.com/en,"16, boulevard des Italiens,75009 Paris",France,Jean-Laurent Bonnafé,https://group.bnpparibas/en/group/about-us/governance/general-management-and-the-executive-committee/jean-laurent-bonnafe,Banque de France,http://www.banque-france.fr/,https://invest.bnpparibas.com/en/share-ownership,https://www.banktrack.org/bank/bnp_paribas,48.8718464,2.3378585,https://www.banktrack.org/thumbimage.php?image=bnpparibaslogo_crop.png&amp,Europe
Santander,http://www.santander.com,"Santander Group City. Avda. de Cantabria s/n,28660 Boadilla del Monte, Madrid",Spain,Mr. José Antonio Álvarez  Álvarez,https://www.santander.com/en/shareholders-and-investors/corporate-governance/board-of-directors/mr-jose-antonio-alvarez-alvarez,Banco de España,http://www.bde.es/homee.htm,https://www.marketscreener.com/BANCO-SANTANDER-69308/company/,https://www.banktrack.org/bank/santander,40.3929411,-3.8571184,https://www.banktrack.org/thumbimage.php?image=download_1_crop.png&amp,Europe
Bank of America,http://www.bankofamerica.com,"100 North Tryon Street,28255 Charlotte, NC",United States,Brian T. Moynihan,https://about.bankofamerica.com/en-us/who-we-are/brian-moynihan-biography.html#fbid=mqiMZ3Uf4dh,Federal Reserve,http://www.federalreserve.gov/,https://www.nasdaq.com/symbol/bac/ownership-summary,https://www.banktrack.org/bank/bank_of_america,35.2273933,-80.8421686,https://www.banktrack.org/thumbimage.php?image=bankofamericalogo.jpg&amp,North America
Bank of China,http://www.boc.cn/en/index.html,"No.1 Fuxingmen Nei Street, Xicheng District,100818  Beijing",China,Liu Liange,https://www.boc.cn/en/investor/ir6/201504/t20150402_4830133.html,People's Bank of China,http://www.pbc.gov.cn/english/,http://www.huijin-inv.cn/wps/portal/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOL9DMwMDJ2DDbwMfB3dDBwtDFx9_Y29jPxDzYAKInErcPc2xqvf15SAfhMi9Tu7O3qYmPsYGBiYWBgZeLo4ebiYW_oaGHiaEaffAAdwNKDI_SAFBMIvXD8KnxJwCOJVYAJTgC8MwArweLIgNxQIIgwyPdMVAd_DIU4!/dl5/d5/L2dBISEvZ0FBIS9nQSEh/,https://www.banktrack.org/bank/bank_of_china,39.9073,116.36566,https://www.banktrack.org/thumbimage.php?image=cina.jpg&amp,Asia
Bank of Communications,http://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600212/list.shtml?channelId=,"188 Yinchengzhong Road,200120 Shanghai",China,Ren Deqi,https://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600223/2600231/2600345/list.shtml?channelId=2600234,China Banking and Investment Regulatory Commission (CBIRC),https://www.cbirc.gov.cn/en/view/pages/index/index.html,http://www.bankcomm.com/BankCommSite/shtml/jyjr/en/2600223/2600238/2600348/list.shtml?channelId=2600238,https://www.banktrack.org/bank/bank_of_communications,31.2272126,121.5159298,https://www.banktrack.org/thumbimage.php?image=12-bank-of-communications-logo.jpg&amp,Asia
Bank of Montreal,http://www.bmo.com/home,"1 First Canadian Place,ON M5X 1H3 Toronto",Canada,Darryl White,https://www.bmo.com/home/about/banking/corporate-information/executive-bios/darryl-white,Bank of Canada,http://www.bank-banque-canada.ca/en,https://money.cnn.com/quote/shareholders/shareholders.html?symb=BMO&subView=institutional,https://www.banktrack.org/bank/bmo_financial_group,43.6488906,-79.38087259999999,https://www.banktrack.org/thumbimage.php?image=bmo logo.jpg&amp,North America
Barclays,http://www.barclays.com,"1 Churchill Place E14 5HP London,London",United Kingdom,C.S. Venkatakrishnan,https://home.barclays/who-we-are/structure-and-leadership/leadership/c-s-venkatakrishnan/,Bank of England,http://www.bankofengland.co.uk/,https://www.marketscreener.com/BARCLAYS-9583556/company/,https://www.banktrack.org/bank/barclays,51.5053096,-0.0144754,https://www.banktrack.org/thumbimage.php?image=barclayslogo_crop.jpg&amp,Europe
