Carbon_Bomb_Name,Parent_Company,percentage
Gaojiabao Coal Mine,Shandong Energy,
Shajihai No.2 Coal Mine,China Energy,
Yangjiacun Coal Mine,Shandong Energy,
Kouzi East Coal Mine,China Coal,30
Kouzi East Coal Mine,China Energy,7
Kouzi East Coal Mine,Anhui Xinji Coal and Electricity Group China COSCO Shipping,7
Wangjialing Coal Mine,China Coal,29
Wangjialing Coal Mine,HKSCC Nominees Limited,15
Wangjialing Coal Mine,Shanxi Coking Coal Group,25
Wangjialing Coal Mine,Others,31
Yili No.4 Coal Mine,Shandong Energy,55
Yili No.4 Coal Mine,Zhejiang Energy Group,45
Hongqingliang Coal Mine,Shanxi Zhongbo Real Estate Development Company,40
Hongqingliang Coal Mine,Beijing Energy Group,37
Hongqingliang Coal Mine,Shougang Group,1
Hongqingliang Coal Mine,China Coal,1
Weijiamao Open Pit Mine,China Huaneng,42
Weijiamao Open Pit Mine,Guangdong Hengjian Investment Holding Company,
Weijiamao Open Pit Mine,China Energy,8
Weijiamao Open Pit Mine,China Securities Finance Corporation,3
Weijiamao Open Pit Mine,Others,44
Dingji Coal Mine,Huaihe Energy,50
Dingji Coal Mine,China Cinda Asset Management,49
Dingji Coal Mine,Others,1
Wudong Coal Mine,China Energy,
Lijiahao Coal Mine,China Energy,69
Lijiahao Coal Mine,HKSCC Nominees Limited,17
Lijiahao Coal Mine,Others,14
Shicaocun Coal Mine,China Energy,51
Shicaocun Coal Mine,Ningxia State-Owned Assets Company,49
Qingchunta Coal Mine,Guangdong Hanjian Holding Company,94
Qingchunta Coal Mine,Shanghai Chengrui Investment Company,6
Xiaozhuang Coal Mine,Shaanxi Coal and Chemical Industry Group,45
Xiaozhuang Coal Mine,China Development Bank,6
Xiaozhuang Coal Mine,Others,49
Talahao Coal Mine,Inner Mongolia Yitai Investment,
Baishihu Surface Mine,Guanghui Energy Holding Company,94
Baishihu Surface Mine,Xinjiang Guanghui Industry Investment Group,5
Baishihu Surface Mine,Xinjiang Production and Construction Corps,1
